
﻿Liste des attributs	Nom du produit	Identifiant produit	Identifiant déclinaison	ean13 décl.	Prix d'achat HT	 Impact sur prix de vente (HT/TTC suivant PS version) 	 Impact sur prix de vente TTC 	 Prix de vente déclinaison HT avant remises 	 Prix de vente déclinaison TTC avant remises 	Montant de remise
	ARTICLE DIVERS	6113	3065					4,17 €	5,00 €	
	DEGUSTATION PASTIS	6159	3268					 -   € 	 -   € 	
	SAC KDO PETITE POCHETTE	6192	2238					0,25 €	0,30 €	
SAINTE MAXIME	PORTE CLEF ACCROCHE CLEF	6251	2072	2058924854559				10,00 €	12,00 €	
SAINT TROPEZ	PORTE CLEF ACCROCHE CLEF	6251	2071	2010767101290				10,00 €	12,00 €	
PORT GRIMAUD	PORTE CLEF ACCROCHE CLEF	6251	2073	2006622080381				10,00 €	12,00 €	
CAVALAIRE	PORTE CLEF ACCROCHE CLEF	6251	2074	2065627257280				10,00 €	12,00 €	
SAINT TROPEZ	TOTE BAG NOIRE	6355	2075	2006388641635		4,08 €	4,90 €	16,58 €	19,90 €	
SAINTE MAXIME	TOTE BAG NOIRE	6355	2076	2000562547478		4,08 €	4,90 €	16,58 €	19,90 €	
PORT GRIMAUD	TOTE BAG NOIRE	6355	2077	2060907659396		4,08 €	4,90 €	16,58 €	19,90 €	
CAVALAIRE	TOTE BAG NOIRE	6355	2078	2046258096325		4,08 €	4,90 €	16,58 €	19,90 €	
L	TEE SHIRT FEMME  BLANC LOGO ORANGE NBO	6396	2276	2065667922490				20,83 €	25,00 €	
XS	TEE SHIRT FEMME  BLANC LOGO ORANGE NBO	6396	2273	2038773675048				20,83 €	25,00 €	
S	TEE SHIRT FEMME  BLANC LOGO ORANGE NBO	6396	2274	2090811413449				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME  BLANC LOGO ORANGE NBO	6396	2272	2042332287429				20,83 €	25,00 €	
M	TEE SHIRT FEMME  BLANC LOGO ORANGE NBO	6396	2275	2053253721602				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME  BLANC LOGO ORANGE NBO	6396	2279	2061434582676				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME  BLANC LOGO ORANGE NBO	6396	2278	2091145619101				20,83 €	25,00 €	
XL	TEE SHIRT FEMME  BLANC LOGO ORANGE NBO	6396	2277	2038276012944				20,83 €	25,00 €	
M	TEE SHIRT FEMME BLANC LOGO ROSE	6397	2283	2070722940272				20,83 €	25,00 €	
XS	TEE SHIRT FEMME BLANC LOGO ROSE	6397	2281	2074948710961				20,83 €	25,00 €	
S	TEE SHIRT FEMME BLANC LOGO ROSE	6397	2282	2036048832462				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME BLANC LOGO ROSE	6397	2280	2079664763437				20,83 €	25,00 €	
L	TEE SHIRT FEMME BLANC LOGO ROSE	6397	2284	2094188131265				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME BLANC LOGO ROSE	6397	2287	2094133522575				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME BLANC LOGO ROSE	6397	2286	2007922544375				20,83 €	25,00 €	
XL	TEE SHIRT FEMME BLANC LOGO ROSE	6397	2285	2016487095062				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME BLANC LOGO BLEU	6398	2288	2059545381363				20,83 €	25,00 €	
XS	TEE SHIRT FEMME BLANC LOGO BLEU	6398	2289	2046238678947				20,83 €	25,00 €	
S	TEE SHIRT FEMME BLANC LOGO BLEU	6398	2290	2039503550086				20,83 €	25,00 €	
XL	TEE SHIRT FEMME BLANC LOGO BLEU	6398	2293	2028763869786				20,83 €	25,00 €	
L	TEE SHIRT FEMME BLANC LOGO BLEU	6398	2292	2066024310233				20,83 €	25,00 €	
M	TEE SHIRT FEMME BLANC LOGO BLEU	6398	2291	2006918696401				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME BLANC LOGO BLEU	6398	2295	2042047926101				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME BLANC LOGO BLEU	6398	2294	2055152521253				20,83 €	25,00 €	
M	TEE SHIRT FEMME LOGO CLOCHER	6399	2299	2063872830616				20,83 €	25,00 €	
XS	TEE SHIRT FEMME LOGO CLOCHER	6399	2297	2074054528085				20,83 €	25,00 €	
S	TEE SHIRT FEMME LOGO CLOCHER	6399	2298	2060631932499				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME LOGO CLOCHER	6399	2296	2011732777106				20,83 €	25,00 €	
XL	TEE SHIRT FEMME LOGO CLOCHER	6399	2301	2051572767127				20,83 €	25,00 €	
L	TEE SHIRT FEMME LOGO CLOCHER	6399	2300	2067538840889				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME LOGO CLOCHER	6399	2303	2034143476932				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME LOGO CLOCHER	6399	2302	2032111054571				20,83 €	25,00 €	
M	TEE SHIRT FEMMELOGO VICHY CŒUR	6400	2307	2021818442927				20,83 €	25,00 €	
XS	TEE SHIRT FEMMELOGO VICHY CŒUR	6400	2305	2033808357821				20,83 €	25,00 €	
S	TEE SHIRT FEMMELOGO VICHY CŒUR	6400	2306	2066728079948				20,83 €	25,00 €	
XXS	TEE SHIRT FEMMELOGO VICHY CŒUR	6400	2304	2024348375437				20,83 €	25,00 €	
L	TEE SHIRT FEMMELOGO VICHY CŒUR	6400	2308	2067518617296				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMMELOGO VICHY CŒUR	6400	2311	2038257997987				20,83 €	25,00 €	
XXL	TEE SHIRT FEMMELOGO VICHY CŒUR	6400	2310	2075098021754				20,83 €	25,00 €	
XL	TEE SHIRT FEMMELOGO VICHY CŒUR	6400	2309	2026157806621				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME NOIR BRODE DOS	6401	2312	2096037618620				20,83 €	25,00 €	
XS	TEE SHIRT FEMME NOIR BRODE DOS	6401	2313	2066089212961				20,83 €	25,00 €	
S	TEE SHIRT FEMME NOIR BRODE DOS	6401	2314	2025686100613				20,83 €	25,00 €	
M	TEE SHIRT FEMME NOIR BRODE DOS	6401	2315	2040102783201				20,83 €	25,00 €	
L	TEE SHIRT FEMME NOIR BRODE DOS	6401	2316	2063743717800				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME NOIR BRODE DOS	6401	2319	2017118318109				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME NOIR BRODE DOS	6401	2318	2039027714858				20,83 €	25,00 €	
XL	TEE SHIRT FEMME NOIR BRODE DOS	6401	2317	2005364385129				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME BLANC COL ROND LOGO BLANC	6402	2320	2013448752316				20,83 €	25,00 €	
XS	TEE SHIRT FEMME BLANC COL ROND LOGO BLANC	6402	2321	2038535395542				20,83 €	25,00 €	
S	TEE SHIRT FEMME BLANC COL ROND LOGO BLANC	6402	2322	2036342510028				20,83 €	25,00 €	
XL	TEE SHIRT FEMME BLANC COL ROND LOGO BLANC	6402	2325	2064348304389				20,83 €	25,00 €	
L	TEE SHIRT FEMME BLANC COL ROND LOGO BLANC	6402	2324	2040478827905				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME BLANC COL ROND LOGO BLANC	6402	2327	2073914566885				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME BLANC COL ROND LOGO BLANC	6402	2326	2020930283463				20,83 €	25,00 €	
M	TEE SHIRT FEMME BLANC COL ROND LOGO BLANC	6402	2323	2045094372730				20,83 €	25,00 €	
S	TEE SHIRT FEMME BLANC PAILLETTE OR	6403	2330	2075103842121				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME BLANC PAILLETTE OR	6403	2328	2055857215525				20,83 €	25,00 €	
XS	TEE SHIRT FEMME BLANC PAILLETTE OR	6403	2329	2095434464977				20,83 €	25,00 €	
M	TEE SHIRT FEMME BLANC PAILLETTE OR	6403	2331	2089408120440				20,83 €	25,00 €	
XL	TEE SHIRT FEMME BLANC PAILLETTE OR	6403	2333	2051016750029				20,83 €	25,00 €	
L	TEE SHIRT FEMME BLANC PAILLETTE OR	6403	2332	2023806402449				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME BLANC PAILLETTE OR	6403	2335	2045393121961				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME BLANC PAILLETTE OR	6403	2334	2047632865780				20,83 €	25,00 €	
S	TEE SHIRT FEMME GRIS LOGO TROPEZ GFR	6404	2250	2030935109637				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME GRIS LOGO TROPEZ GFR	6404	2248	2056639120242				20,83 €	25,00 €	
XS	TEE SHIRT FEMME GRIS LOGO TROPEZ GFR	6404	2249	2091247524204				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME GRIS LOGO TROPEZ GFR	6404	2255	2038865490443				20,83 €	25,00 €	
M	TEE SHIRT FEMME GRIS LOGO TROPEZ GFR	6404	2251	2055712157946				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME GRIS LOGO TROPEZ GFR	6404	2254	2065447144784				20,83 €	25,00 €	
XL	TEE SHIRT FEMME GRIS LOGO TROPEZ GFR	6404	2253	2078080457098				20,83 €	25,00 €	
L	TEE SHIRT FEMME GRIS LOGO TROPEZ GFR	6404	2252	2053022370932				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME FUSHIA LOGO TROPEZ FFG	6405	2240	2068652052950				20,83 €	25,00 €	
XS	TEE SHIRT FEMME FUSHIA LOGO TROPEZ FFG	6405	2241	2004076205039				20,83 €	25,00 €	
M	TEE SHIRT FEMME FUSHIA LOGO TROPEZ FFG	6405	2243	2096338153059				20,83 €	25,00 €	
S	TEE SHIRT FEMME FUSHIA LOGO TROPEZ FFG	6405	2242	2082716979090				20,83 €	25,00 €	
XL	TEE SHIRT FEMME FUSHIA LOGO TROPEZ FFG	6405	2245	2012456218401				20,83 €	25,00 €	
L	TEE SHIRT FEMME FUSHIA LOGO TROPEZ FFG	6405	2244	2016491832875				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME FUSHIA LOGO TROPEZ FFG	6405	2247	2087787326293				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME FUSHIA LOGO TROPEZ FFG	6405	2246	2013219474058				20,83 €	25,00 €	
M	TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR	6406	2259	2014065191847				20,83 €	25,00 €	
XS	TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR	6406	2257	2088183610993				20,83 €	25,00 €	
S	TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR	6406	2258	2018479813791				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR	6406	2256	2030466686911				20,83 €	25,00 €	
L	TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR	6406	2260	2049268135688				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR	6406	2263	2041498028808				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR	6406	2262	2091421809608				20,83 €	25,00 €	
XL	TEE SHIRT FEMME ROSE LOGO TROPEZ ROSE RBR	6406	2261	2071932587370				20,83 €	25,00 €	
XXS	TEE SHIRT FEMME 5	6407	2264	2057568073234				20,83 €	25,00 €	
XS	TEE SHIRT FEMME 5	6407	2265	2042092655513				20,83 €	25,00 €	
S	TEE SHIRT FEMME 5	6407	2266	2017933050956				20,83 €	25,00 €	
M	TEE SHIRT FEMME 5	6407	2267	2013076784857				20,83 €	25,00 €	
L	TEE SHIRT FEMME 5	6407	2268	2099257295329				20,83 €	25,00 €	
XXXL	TEE SHIRT FEMME 5	6407	2271	2077550098953				20,83 €	25,00 €	
XXL	TEE SHIRT FEMME 5	6407	2270	2017295573490				20,83 €	25,00 €	
XL	TEE SHIRT FEMME 5	6407	2269	2067774642650				20,83 €	25,00 €	
S	TEE SHIRT HOMME BLANC LOGO NIK	6415	2338	2085924535973				20,83 €	25,00 €	
XXS	TEE SHIRT HOMME BLANC LOGO NIK	6415	2336	2071766790793				20,83 €	25,00 €	
XS	TEE SHIRT HOMME BLANC LOGO NIK	6415	2337	2050668601864				20,83 €	25,00 €	
M	TEE SHIRT HOMME BLANC LOGO NIK	6415	2339	2081782847807				20,83 €	25,00 €	
L	TEE SHIRT HOMME BLANC LOGO NIK	6415	2340	2090419368387				20,83 €	25,00 €	
XXXL	TEE SHIRT HOMME BLANC LOGO NIK	6415	2343	2099365791348				20,83 €	25,00 €	
XXL	TEE SHIRT HOMME BLANC LOGO NIK	6415	2342	2012650266451				20,83 €	25,00 €	
XL	TEE SHIRT HOMME BLANC LOGO NIK	6415	2341	2061852797058				20,83 €	25,00 €	
S	TEE SHIRT HOMMENOIR PAILLETTE	6416	2346	2022673466783				20,83 €	25,00 €	
XXS	TEE SHIRT HOMMENOIR PAILLETTE	6416	2344	2025584041568				20,83 €	25,00 €	
XS	TEE SHIRT HOMMENOIR PAILLETTE	6416	2345	2070588313814				20,83 €	25,00 €	
L	TEE SHIRT HOMMENOIR PAILLETTE	6416	2348	2077454458242				20,83 €	25,00 €	
M	TEE SHIRT HOMMENOIR PAILLETTE	6416	2347	2073533734467				20,83 €	25,00 €	
XXXL	TEE SHIRT HOMMENOIR PAILLETTE	6416	2351	2083197318415				20,83 €	25,00 €	
XXL	TEE SHIRT HOMMENOIR PAILLETTE	6416	2350	2065530309441				20,83 €	25,00 €	
XL	TEE SHIRT HOMMENOIR PAILLETTE	6416	2349	2055279338086				20,83 €	25,00 €	
S	TEE SHIRT HOMME NOIR LOGO TROPEZ	6417	2354	2004678135246				20,83 €	25,00 €	
XXS	TEE SHIRT HOMME NOIR LOGO TROPEZ	6417	2352	2042011309725				20,83 €	25,00 €	
XS	TEE SHIRT HOMME NOIR LOGO TROPEZ	6417	2353	2070178896864				20,83 €	25,00 €	
XXL	TEE SHIRT HOMME NOIR LOGO TROPEZ	6417	2358	2044456613351				20,83 €	25,00 €	
L	TEE SHIRT HOMME NOIR LOGO TROPEZ	6417	2356	2033634856352				20,83 €	25,00 €	
XL	TEE SHIRT HOMME NOIR LOGO TROPEZ	6417	2357	2081861878616				20,83 €	25,00 €	
M	TEE SHIRT HOMME NOIR LOGO TROPEZ	6417	2355	2054694160647				20,83 €	25,00 €	
XXXL	TEE SHIRT HOMME NOIR LOGO TROPEZ	6417	2359	2072957028855				20,83 €	25,00 €	
XXS	TEE SHIRT HOMME GRIS LOGO NIKE BLEU	6418	2360	2066403802663				20,83 €	25,00 €	
S	TEE SHIRT HOMME GRIS LOGO NIKE BLEU	6418	2362	2076324821469				20,83 €	25,00 €	
