id,nom,reference,image,ean13,categorie,prix_ht,prix_ttc,stock,remisable,article_remisable,declinaisons
5851,"VN BLANC TROPEZ",1,,2058462400577,VERRE,5.42,6.50,-297,true,true,"[]"
5852,"VN BLANC MAXIME",2,,2080099942366,VERRE,5.42,6.50,34,true,true,"[]"
5853,"VN BLANC PORT GRIMAUD",3,,2003279387030,VERRE,5.42,6.50,22,true,true,"[]"
5854,"VN BLANC CAVALAIRE",4,,2087516449941,VERRE,5.42,6.50,38,true,true,"[]"
5855,"VN BLANC RAMATUELLE",5,,2008585103961,VERRE,5.42,6.50,33,true,true,"[]"
5856,"VN BLANC LA CROIX",6,,2090059377305,VERRE,5.42,6.50,21,true,true,"[]"
5857,"VN BLANC FREJUS",7,,2020965768829,VERRE,5.42,6.50,10,true,true,"[]"
5858,"VN BLANC ISSAMBRE",8,,2054228608874,VERRE,5.42,6.50,13,true,true,"[]"
5859,"VN BLANC COGOLIN",9,,2094059480423,VERRE,5.42,6.50,14,true,true,"[]"
5860,"VN BLANC LAVANDOU",10,,2059828236588,VERRE,5.42,6.50,8,true,true,"[]"
5861,"VN BLANC COCHE",16,,2033782564307,VERRE,5.42,6.50,0,true,true,"[]"
5862,"VN BLANC   NOEL",13,,2009628437142,VERRE,5.42,6.50,48,true,true,"[]"
5863,"VN BLANC 18   UNI",16,,2048511440944,VERRE,5.42,6.50,0,true,true,"[]"
5864,"VN BLANC 25   UNI",15,,2089494574288,VERRE,5.42,6.50,7,true,true,"[]"
5865,"VN CLEAR TROPEZ",17,,2088909251202,VERRE,5.42,6.50,-5,true,true,"[]"
5866,"VN CLEAR MAXIME",18,,2051673778770,VERRE,5.42,6.50,10,true,true,"[]"
5867,"VN CLEAR PORT GRIMAUD",19,,2045728349572,VERRE,5.42,6.50,31,true,true,"[]"
5868,"VN CLEAR CAVALAIRE",20,,2029766850535,VERRE,5.42,6.50,15,true,true,"[]"
5869,"VN CLEAR RAMATUELLE",21,,2065270535650,VERRE,5.42,6.50,18,true,true,"[]"
5870,"VN CLEAR LA CROIX",22,,2064462423867,VERRE,5.42,6.50,9,true,true,"[]"
5871,"VN CLEAR UNI",24,,2095418302301,VERRE,5.42,6.50,30,true,true,"[]"
5872,"VN NOIR NOEL",14,,2063910965911,VERRE,5.42,6.50,47,true,true,"[]"
5873,"BK VERRE VILLAGE TROPEZ",40,,2079739543483,VERRE,7.08,8.50,-182,true,true,"[]"
5874,"BK VERRE VILLAGE MAXIME",41,,2023419112247,VERRE,7.08,8.50,41,true,true,"[]"
5875,"BK VERRE VILLAGE PORT GRIMAUD",42,,2077132666938,VERRE,7.08,8.50,12,true,true,"[]"
