id,nom,color,productOrder
1,"PRODUITS DIVERS",#757575,[]
2,"Accueil",#757575,[]
3,"BIERE BT",#FF9800,[]
4,"BIJOUX",#757575,[]
5,"BOUCHONS",#757575,[]
6,"BRADERIE",#FFC107,[]
7,"CASQUETTE",#757575,[]
8,"COFFRET",#757575,[]
9,"COMPOSITION VASQUE",#757575,[]
10,"CONSOMABLE INTERNE BOUTIQUE",#607D8B,[]
11,"COOL BAG",#757575,[]
12,"COUSSINS",#757575,[]
13,"DECAPSULEUR",#8BC34A,[]
14,"DEGUSTATION",#757575,[]
15,"DIVERS",#757575,[]
16,"DIVERS INTERNE",#757575,[]
17,"ECHARPE",#757575,[]
18,"EMBALLAGE",#757575,[]
19,"ENFANT",#757575,[]
20,"EVENTAIL",#757575,[]
21,"ICE TROPEZ",#757575,[]
22,"LED",#757575,[]
23,"PACK BALLOON",#757575,[]
24,"PACK ICE BAG",#757575,[]
25,"PACK VERRE",#4CAF50,[]
26,"PAPETERIE",#757575,[]
27,"PARAPLUIE",#757575,[]
28,"PASTIS",#757575,[]
29,"PETANQUE",#757575,[]
30,"PLAGE JEUX DIVERS",#757575,[]
31,"PLATEAU",#757575,[]
32,"POCHETTE",#9C27B0,[]
33,"PORTE CLE 10",#757575,[]
34,"PORTE CLEF & BRACELET",#00BCD4,[]
35,"PRODUITS BLONDE",#757575,[]
36,"SAC",#E91E63,[]
37,"SERVIETTE",#757575,[]
38,"TOUTOU",#757575,[]
39,"TRANSAT",#757575,[]
40,"TRIO PACK",#757575,[]
41,"TRIPACK",#757575,[]
42,"VASQUE ET SEAU",#795548,[]
43,"VERRE",#2196F3,[]
44,"VERRES 10 €",#757575,[]
45,"VETEMENT",#FF5722,[]
46,"VIN",#757575,[]
