id,nom,color,productOrder
1,"Accueil",#757575,[]
2,"BIERE BT",#FF9800,[]
3,"BIJOUX",#757575,[]
4,"BOUCHONS",#757575,[]
5,"BRADERIE",#FFC107,[]
6,"CASQUETTE",#757575,[]
7,"COFFRET",#757575,[]
8,"COMPOSITION VASQUE",#757575,[]
9,"CONSOMABLE INTERNE BOUTIQUE",#607D8B,[]
10,"COOL BAG",#757575,[]
11,"COUSSINS",#757575,[]
12,"DECAPSULEUR",#8BC34A,[]
13,"DEGUSTATION",#757575,[]
14,"DIVERS",#757575,[]
15,"DIVERS INTERNE",#757575,[]
16,"ECHARPE",#757575,[]
17,"EMBALLAGE",#757575,[]
18,"ENFANT",#757575,[]
19,"EVENTAIL",#757575,[]
20,"ICE TROPEZ",#757575,[]
21,"LED",#757575,[]
22,"PACK BALLOON",#757575,[]
23,"PACK ICE BAG",#757575,[]
24,"PACK VERRE",#4CAF50,[]
25,"PAPETERIE",#757575,[]
26,"PARAPLUIE",#757575,[]
27,"PASTIS",#757575,[]
28,"PETANQUE",#757575,[]
29,"PLAGE JEUX DIVERS",#757575,[]
30,"PLATEAU",#757575,[]
31,"POCHETTE",#9C27B0,[]
32,"PORTE CLE 10",#757575,[]
33,"PORTE CLEF & BRACELET",#00BCD4,[]
34,"PRODUITS BLONDE",#757575,[]
35,"SAC",#E91E63,[]
36,"SERVIETTE",#757575,[]
37,"TOUTOU",#757575,[]
38,"TRANSAT",#757575,[]
39,"TRIO PACK",#757575,[]
40,"TRIPACK",#757575,[]
41,"VASQUE ET SEAU",#795548,[]
42,"VERRE",#2196F3,[]
43,"VERRES 10 €",#757575,[]
44,"VETEMENT",#FF5722,[]
45,"VIN",#757575,[]
