id,nom,color,productOrder
1,"2016434220837",#757575,[]
2,"2060676148374",#757575,[]
3,"2079244716440",#757575,[]
4,"ART DE LA TABLE",#757575,[]
5,"ASSIETTE",#757575,[]
6,"Accueil",#757575,[]
7,"BIERE BT",#FF9800,[]
8,"BIJOUX",#757575,[]
9,"BOUCHONS",#757575,[]
10,"BRADERIE",#FFC107,[]
11,"CASQUETTE",#757575,[]
12,"COFFRET",#757575,[]
13,"COMPOSITION VASQUE",#757575,[]
14,"CONSOMABLE INTERNE BOUTIQUE",#607D8B,[]
15,"COOL BAG",#757575,[]
16,"COUSSINS",#757575,[]
17,"DECAPSULEUR",#8BC34A,[]
18,"DEGUSTATION",#757575,[]
19,"DIVERS",#757575,[]
20,"DIVERS INTERNE",#757575,[]
21,"ECHARPE",#757575,[]
22,"EMBALLAGE",#757575,[]
23,"ENFANT",#757575,[]
24,"EVENTAIL",#757575,[]
25,"ICE TROPEZ",#757575,[]
26,"LED",#757575,[]
27,"PACK BALLOON",#757575,[]
28,"PACK ICE BAG",#757575,[]
29,"PACK VERRE",#4CAF50,[]
30,"PAPETERIE",#757575,[]
31,"PARAPLUIE",#757575,[]
32,"PASTIS",#757575,[]
33,"PETANQUE",#757575,[]
34,"PLAGE JEUX DIVERS",#757575,[]
35,"PLATEAU",#757575,[]
36,"POCHETTE",#9C27B0,[]
37,"PORTE CLE 10",#757575,[]
38,"PORTE CLEF & BRACELET",#00BCD4,[]
39,"PRODUITS BLONDE",#757575,[]
40,"SAC",#E91E63,[]
41,"SERVIETTE",#757575,[]
42,"TOUTOU",#757575,[]
43,"TRANSAT",#757575,[]
44,"TRIO PACK",#757575,[]
45,"TRIPACK",#757575,[]
46,"VASQUE ET SEAU",#795548,[]
47,"VERRE",#2196F3,[]
48,"VERRES 10 €",#757575,[]
49,"VETEMENT",#FF5722,[]
50,"VIN",#757575,[]
